401	392	178
402	392	166
403	382	161
404	382	138
405	365	186
406	365	173
407	396	158
408	396	163
409	316	157
410	316	110
411	335	114
412	335	200
413	329	105
414	329	120
415	380	183
416	380	197
417	354	145
418	354	143
419	301	170
420	301	129
421	408	401
422	408	414
423	412	409
424	412	411
425	407	418
426	407	401
427	419	414
428	419	417
429	405	409
430	405	414
431	416	420
432	416	415
433	403	410
434	403	415
435	402	420
436	402	413
437	406	415
438	406	414
439	404	418
440	404	415
441	423	427
442	423	430
443	424	440
444	424	428
445	421	438
446	421	425
447	437	427
448	437	430
449	435	439
450	435	428
451	426	430
452	426	425
453	429	439
454	429	432
455	434	433
456	434	439
457	436	432
458	436	440
459	431	438
460	431	439
461	446	453
462	446	460
463	454	453
464	454	460
465	442	445
466	442	443
467	450	451
468	450	453
469	458	449
470	458	453
471	456	445
472	456	443
473	455	445
474	455	459
475	441	460
476	441	449
477	457	444
478	457	445
479	447	460
480	447	459
481	462	480
482	462	476
483	469	478
484	469	461
485	463	467
486	463	480
487	470	466
488	470	471
489	474	465
490	474	466
491	473	472
492	473	461
493	475	466
494	475	461
495	477	472
496	477	471
497	468	464
498	468	478
499	479	464
500	479	471
